farm_id,state,district,village,crop,crop_variety,sowing_date,harvesting_date,season,land_area_acres,soil_type,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,fertilizer_used,irrigation_method,rainfall_mm,avg_temperature_c,humidity_percent,pest_attack,disease_name,pesticide_used,expected_yield_tonnes,actual_yield_tonnes,water_consumption_litres,production_cost_inr,market_price_inr,profit_loss_inr,crop_health_score,sustainability_score
FARM00489,Assam,Guwahati,Village_434,Wheat,PBW725,2023-07-05,2023-12-15,Kharif,13.68,Laterite,6.1,174,76,47,Urea,Flood,91.9,30.2,68,No,None,Neem Oil,47.77,48.53,987736.3,298786.48,199583.17,-99203.31,61,45
FARM00490,West Bengal,Siliguri,Village_69,Potato,Kufri Pukhraj,2021-10-10,2022-02-25,Kharif,11.43,Black,5.7,167,43,46,Organic Compost,Canal,93.7,28.8,79,No,None,Neem Oil,51.37,54.64,681990.6,378578.5,218959.37,-159619.13,69,69
FARM00491,West Bengal,Kolkata,Village_25,Rice,IR64,2022-07-12,2022-10-24,Kharif,20.38,Black,7.1,167,74,155,Organic Compost,Flood,38.4,21.4,53,Yes,Leaf Blight,Chlorpyrifos,77.48,61.98,560206.6,635287.94,126772.02,-508515.92,54,63
FARM00492,West Bengal,Kolkata,Village_273,Cotton,Bt,2021-05-07,2021-08-18,Zaid,18.12,Alluvial,5.8,119,61,150,Organic Compost,Flood,108.1,29.6,69,No,None,Neem Oil,83.41,81.23,1013368.6,512918.05,299468.32,-213449.73,87,94
FARM00493,Rajasthan,Kota,Village_203,Soybean,JS335,2022-01-02,2022-05-18,Zaid,7.78,Loamy,7.3,169,168,85,NPK,Sprinkler,180.0,29.0,87,No,None,Neem Oil,43.43,45.05,394668.4,242928.0,120979.44,-121948.56,70,78
FARM00494,Assam,Guwahati,Village_498,Millet,Ragi,2020-04-28,2020-10-03,Kharif,16.24,Laterite,6.6,40,168,76,Organic Compost,Flood,24.7,34.6,56,No,None,Neem Oil,59.97,65.0,258911.8,311500.72,147681.58,-163819.14,71,79
FARM00495,Karnataka,Mysuru,Village_370,Maize,HQPM1,2020-02-19,2020-05-20,Rabi,7.61,Loamy,7.1,52,149,162,Urea,Canal,80.7,22.6,63,No,None,Neem Oil,35.24,36.91,389930.9,156739.52,131719.18,-25020.34,65,62
FARM00496,Assam,Guwahati,Village_359,Soybean,JS335,2023-06-17,2023-10-27,Zaid,9.79,Black,5.7,90,120,179,DAP,Canal,157.5,30.8,83,Yes,Leaf Blight,Chlorpyrifos,41.57,33.26,647183.1,194553.35,112779.16,-81774.19,66,49
FARM00497,West Bengal,Siliguri,Village_169,Cotton,Bt,2020-08-25,2021-02-04,Zaid,8.42,Loamy,6.7,102,172,178,NPK,Drip,44.0,33.5,60,Yes,Leaf Blight,Chlorpyrifos,33.5,26.8,246575.1,262944.33,77001.68,-185942.65,43,68
FARM00498,Punjab,Ludhiana,Village_284,Soybean,JS335,2024-04-24,2024-10-02,Kharif,10.98,Alluvial,6.5,110,133,140,DAP,Rain-fed,45.6,19.1,65,Yes,Leaf Blight,Imidacloprid,37.25,29.8,352620.9,339327.72,65668.6,-273659.12,44,84
FARM00499,Rajasthan,Kota,Village_282,Soybean,JS335,2023-11-11,2024-04-21,Zaid,3.88,Laterite,8.2,166,93,135,Organic Compost,Drip,21.1,24.2,55,No,None,Neem Oil,10.2,9.93,122774.6,92626.27,39122.03,-53504.24,85,69
FARM00500,Karnataka,Mysuru,Village_475,Potato,Kufri Jyoti,2023-02-09,2023-06-29,Rabi,14.05,Red,7.1,105,136,66,DAP,Sprinkler,19.7,26.3,52,No,None,Neem Oil,40.13,42.39,1030871.4,358578.66,94986.8,-263591.86,56,84
FARM00501,Karnataka,Belagavi,Village_225,Cotton,Bt,2021-10-05,2022-01-20,Rabi,10.15,Loamy,6.9,68,116,119,Organic Compost,Rain-fed,73.0,26.2,63,No,None,Neem Oil,31.69,33.01,542175.8,286476.97,134253.27,-152223.7,70,62
FARM00502,Rajasthan,Kota,Village_10,Wheat,HD2967,2022-04-05,2022-07-09,Kharif,23.19,Alluvial,7.9,170,96,166,Vermicompost,Drip,63.3,25.0,70,No,None,Neem Oil,88.41,84.51,1406301.8,405565.05,237945.76,-167619.29,70,47
FARM00503,Rajasthan,Kota,Village_497,Sugarcane,Co0238,2020-08-26,2020-12-10,Kharif,15.53,Red,8.2,48,63,164,Urea,Canal,119.5,18.8,78,Yes,Leaf Blight,Imidacloprid,75.86,60.69,903544.8,269875.39,168783.76,-101091.63,20,89
FARM00504,Assam,Guwahati,Village_349,Wheat,HD2967,2021-10-27,2022-03-18,Rabi,2.22,Black,7.7,91,97,160,NPK,Drip,79.9,34.4,72,No,None,Neem Oil,7.62,8.17,123487.1,45449.21,28050.43,-17398.78,83,45
FARM00505,Assam,Jorhat,Village_288,Potato,Kufri Jyoti,2020-12-06,2021-06-04,Rabi,5.2,Clay,6.1,137,153,113,Vermicompost,Sprinkler,115.7,30.0,82,Yes,Leaf Blight,Chlorpyrifos,19.48,15.58,240448.6,142828.51,42237.42,-100591.09,26,87
FARM00506,Maharashtra,Pune,Village_290,Maize,DHM117,2022-06-08,2022-11-11,Zaid,24.26,Black,6.4,51,103,134,NPK,Drip,87.2,24.1,73,No,None,Neem Oil,88.94,94.91,1782112.1,567731.82,330802.58,-236929.24,94,57
FARM00507,Rajasthan,Kota,Village_375,Rice,IR64,2020-05-22,2020-09-05,Zaid,4.72,Black,6.3,107,134,150,Organic Compost,Flood,86.9,33.6,79,No,None,Neem Oil,18.15,19.14,143470.0,112231.02,35664.57,-76566.45,92,93
FARM00508,Rajasthan,Jaipur,Village_222,Maize,DHM117,2021-03-28,2021-08-18,Kharif,7.8,Alluvial,7.1,98,82,165,Urea,Flood,25.0,32.1,52,No,None,Neem Oil,30.6,33.5,296130.5,121954.77,82436.61,-39518.16,56,86
FARM00509,Tamil Nadu,Madurai,Village_256,Sugarcane,Co86032,2020-12-07,2021-04-29,Zaid,11.25,Black,6.8,78,152,63,Vermicompost,Flood,68.1,35.3,63,No,None,Neem Oil,50.94,49.8,376654.6,324728.56,151304.99,-173423.57,79,70
FARM00510,Rajasthan,Jaipur,Village_260,Soybean,NRC37,2024-03-23,2024-08-26,Zaid,19.16,Alluvial,5.6,47,128,161,Vermicompost,Sprinkler,90.7,29.6,80,No,None,Neem Oil,64.23,69.42,500633.7,363065.35,262663.38,-100401.97,58,68
FARM00511,West Bengal,Kolkata,Village_414,Rice,Basmati,2021-10-15,2022-03-29,Rabi,9.96,Loamy,7.4,137,112,61,Vermicompost,Flood,56.2,21.2,72,No,None,Neem Oil,41.94,42.8,150524.1,153700.28,152067.15,-1633.13,86,65
FARM00512,Maharashtra,Nashik,Village_482,Millet,Ragi,2023-06-01,2023-11-11,Rabi,2.38,Alluvial,8.1,136,175,71,Urea,Drip,42.6,28.7,57,Yes,Leaf Blight,Chlorpyrifos,9.32,7.46,143114.9,50443.66,13829.1,-36614.56,54,60
FARM00513,West Bengal,Siliguri,Village_453,Rice,Basmati,2023-10-06,2024-02-20,Rabi,15.83,Red,5.6,163,158,114,Urea,Drip,67.0,20.3,59,No,None,Neem Oil,49.71,50.45,986587.9,363072.47,142568.76,-220503.71,90,50
FARM00514,Tamil Nadu,Madurai,Village_18,Maize,DHM117,2023-08-18,2024-02-06,Rabi,11.41,Alluvial,7.9,46,99,164,Urea,Rain-fed,63.7,25.7,72,Yes,Leaf Blight,Chlorpyrifos,42.11,33.69,459922.1,234342.22,71465.9,-162876.32,35,67
FARM00515,West Bengal,Kolkata,Village_431,Soybean,JS335,2024-03-03,2024-07-04,Zaid,4.78,Black,7.0,40,72,84,Urea,Sprinkler,134.1,24.5,85,No,None,Neem Oil,21.68,22.91,111105.5,107282.99,53337.56,-53945.43,71,68
FARM00516,Tamil Nadu,Madurai,Village_95,Millet,Bajra,2024-03-23,2024-08-19,Zaid,8.92,Red,6.2,46,157,94,DAP,Canal,29.0,19.6,58,Yes,Leaf Blight,Imidacloprid,26.02,20.82,454974.2,222037.35,39085.56,-182951.79,57,54
FARM00517,Maharashtra,Pune,Village_248,Millet,Ragi,2022-01-17,2022-06-18,Zaid,3.08,Alluvial,6.9,64,70,75,Vermicompost,Sprinkler,112.4,24.7,70,No,None,Neem Oil,13.5,13.26,57776.0,54595.43,37644.15,-16951.28,81,48
FARM00518,Punjab,Amritsar,Village_500,Rice,Basmati,2023-07-29,2023-12-22,Rabi,4.2,Black,6.8,135,68,178,Urea,Rain-fed,66.9,29.0,73,Yes,Leaf Blight,Imidacloprid,16.53,13.22,188198.3,85044.44,31575.38,-53469.06,68,57
FARM00519,Karnataka,Mysuru,Village_298,Rice,IR64,2023-07-21,2023-11-06,Zaid,9.45,Alluvial,6.4,180,89,117,Organic Compost,Drip,68.8,25.8,70,Yes,Leaf Blight,Chlorpyrifos,41.13,32.9,399724.7,113554.71,119731.6,6176.89,57,61
FARM00520,Tamil Nadu,Madurai,Village_239,Potato,Kufri Jyoti,2021-04-19,2021-08-12,Kharif,19.75,Red,7.8,157,135,120,DAP,Flood,111.4,28.3,73,Yes,Leaf Blight,Imidacloprid,91.09,72.87,536371.1,669045.61,136764.34,-532281.27,37,75
FARM00521,Uttar Pradesh,Meerut,Village_419,Millet,Bajra,2022-07-28,2022-11-19,Rabi,1.66,Alluvial,7.7,148,69,80,Organic Compost,Sprinkler,115.7,19.4,86,No,None,Neem Oil,6.33,6.72,28323.3,37572.53,15421.37,-22151.16,79,94
FARM00522,West Bengal,Siliguri,Village_136,Millet,Ragi,2020-09-21,2021-02-20,Rabi,22.37,Black,7.8,106,167,89,NPK,Flood,14.8,19.4,61,No,None,Neem Oil,56.09,58.47,512357.6,670183.43,161839.96,-508343.47,70,65
FARM00523,West Bengal,Kolkata,Village_24,Wheat,PBW725,2022-09-16,2023-02-22,Zaid,19.07,Red,6.1,47,91,123,Organic Compost,Sprinkler,29.4,22.5,56,No,None,Neem Oil,74.17,79.8,490937.0,252205.84,248193.22,-4012.62,69,86
FARM00524,Uttar Pradesh,Meerut,Village_41,Cotton,Bt,2022-02-18,2022-06-19,Kharif,11.34,Loamy,7.2,175,61,165,DAP,Canal,61.5,29.3,62,No,None,Neem Oil,34.18,32.66,216577.0,284131.36,132217.96,-151913.4,65,58
FARM00525,Maharashtra,Pune,Village_205,Potato,Kufri Jyoti,2024-02-15,2024-08-09,Zaid,3.86,Alluvial,6.6,110,140,78,Vermicompost,Rain-fed,73.4,35.4,76,No,None,Neem Oil,13.81,14.93,73756.7,67433.48,38312.66,-29120.82,60,62
FARM00526,Uttar Pradesh,Lucknow,Village_192,Rice,Basmati,2020-12-15,2021-05-09,Kharif,7.04,Alluvial,6.1,164,69,135,Organic Compost,Drip,109.6,10.9,77,No,None,Neem Oil,27.61,29.2,303302.9,124727.18,108485.89,-16241.29,92,51
FARM00527,Assam,Jorhat,Village_294,Rice,IR64,2022-10-13,2023-02-21,Rabi,17.18,Clay,7.2,133,115,141,NPK,Sprinkler,112.5,31.7,80,No,None,Neem Oil,78.12,76.74,559775.5,557033.22,146193.52,-410839.7,71,80
FARM00528,Rajasthan,Jaipur,Village_97,Sugarcane,Co0238,2020-10-21,2021-04-09,Zaid,20.5,Red,6.0,140,173,58,Vermicompost,Sprinkler,63.2,25.8,72,Yes,Leaf Blight,Imidacloprid,64.03,51.22,1199533.3,565775.14,186283.55,-379491.59,29,46
FARM00529,West Bengal,Kolkata,Village_450,Sugarcane,Co86032,2023-04-30,2023-09-08,Zaid,12.93,Alluvial,8.1,70,164,159,Organic Compost,Drip,118.4,33.5,73,No,None,Neem Oil,53.6,51.91,378915.9,180608.69,192797.47,12188.78,57,74
FARM00530,Maharashtra,Pune,Village_147,Millet,Bajra,2020-04-16,2020-07-29,Kharif,13.67,Black,8.1,77,127,83,DAP,Rain-fed,55.7,13.9,61,No,None,Neem Oil,47.87,50.49,496360.7,178282.12,142409.79,-35872.33,63,58
FARM00531,Karnataka,Belagavi,Village_187,Cotton,Suraj,2024-05-06,2024-09-19,Zaid,17.63,Black,5.7,69,94,43,NPK,Sprinkler,94.3,24.7,71,No,None,Neem Oil,82.27,84.84,676307.5,266075.29,281705.08,15629.79,75,57
FARM00532,Tamil Nadu,Madurai,Village_494,Maize,HQPM1,2021-05-24,2021-10-30,Zaid,12.19,Loamy,5.7,69,123,64,Urea,Canal,141.8,38.9,77,No,None,Neem Oil,54.15,53.53,461789.7,381571.99,118279.31,-263292.68,75,80
FARM00533,Tamil Nadu,Madurai,Village_72,Sugarcane,Co0238,2023-07-29,2023-12-08,Zaid,19.71,Loamy,8.0,160,78,90,Vermicompost,Flood,72.4,31.0,61,No,None,Neem Oil,72.83,72.75,883309.4,485927.24,171736.2,-314191.04,68,63
FARM00534,Tamil Nadu,Coimbatore,Village_437,Rice,Basmati,2020-03-10,2020-07-18,Zaid,5.02,Laterite,6.9,176,172,172,Organic Compost,Rain-fed,92.5,27.3,67,No,None,Neem Oil,18.56,20.24,356562.5,94179.39,58877.21,-35302.18,69,55
FARM00535,Rajasthan,Jaipur,Village_128,Maize,DHM117,2023-04-10,2023-07-10,Rabi,1.42,Loamy,5.9,106,60,74,Urea,Canal,74.0,26.5,71,Yes,Leaf Blight,Chlorpyrifos,5.27,4.22,70084.5,36292.62,15800.51,-20492.11,45,50
FARM00536,Rajasthan,Jaipur,Village_262,Millet,Ragi,2023-08-28,2023-12-19,Rabi,22.14,Red,7.2,156,125,80,NPK,Drip,81.9,17.7,63,Yes,Leaf Blight,Chlorpyrifos,80.85,64.68,1348866.3,316754.98,230115.59,-86639.39,70,60
FARM00537,Rajasthan,Kota,Village_480,Millet,Ragi,2023-05-13,2023-09-23,Kharif,5.22,Clay,8.1,180,99,148,Vermicompost,Drip,37.8,31.2,59,No,None,Neem Oil,14.38,15.14,221538.4,161066.59,44395.07,-116671.52,79,78
FARM00538,Karnataka,Belagavi,Village_15,Wheat,HD2967,2020-11-12,2021-04-26,Rabi,5.85,Clay,7.3,138,82,128,NPK,Sprinkler,107.4,20.8,80,No,None,Neem Oil,24.58,24.82,208968.3,107457.17,100095.69,-7361.48,87,88
FARM00539,Tamil Nadu,Madurai,Village_206,Rice,IR64,2022-07-04,2022-10-18,Rabi,14.01,Laterite,7.2,110,113,62,NPK,Drip,28.2,14.1,63,No,None,Neem Oil,49.33,49.09,559970.7,254511.98,104409.74,-150102.24,89,83
FARM00540,Tamil Nadu,Madurai,Village_87,Rice,Basmati,2023-09-12,2023-12-24,Zaid,18.29,Loamy,5.5,129,102,134,DAP,Drip,66.1,30.1,66,Yes,Leaf Blight,Imidacloprid,63.29,50.63,395318.5,356699.82,186136.61,-170563.21,51,53
FARM00541,Karnataka,Mysuru,Village_483,Cotton,Bt,2022-05-17,2022-11-05,Kharif,7.17,Red,6.8,60,151,126,Organic Compost,Sprinkler,108.1,21.3,76,No,None,Neem Oil,29.19,28.84,460398.0,243188.53,103446.02,-139742.51,58,70
FARM00542,Assam,Jorhat,Village_196,Wheat,HD2967,2023-12-06,2024-03-19,Rabi,1.09,Red,7.4,51,112,135,Vermicompost,Rain-fed,133.4,37.5,81,No,None,Neem Oil,5.58,5.96,74792.8,24418.5,24209.83,-208.67,94,62
FARM00543,Rajasthan,Jaipur,Village_371,Maize,HQPM1,2023-02-20,2023-07-27,Rabi,11.87,Red,5.8,166,42,121,NPK,Drip,142.1,25.0,89,No,None,Neem Oil,59.44,60.27,540660.8,351309.47,216384.59,-134924.88,74,48
FARM00544,Tamil Nadu,Coimbatore,Village_476,Maize,DHM117,2020-11-19,2021-04-03,Rabi,1.28,Black,5.6,153,104,117,Vermicompost,Flood,49.9,26.1,57,No,None,Neem Oil,4.96,5.13,78439.5,33159.75,16833.28,-16326.47,56,66
FARM00545,Uttar Pradesh,Lucknow,Village_34,Millet,Bajra,2024-03-17,2024-06-29,Kharif,18.88,Clay,7.7,111,97,90,NPK,Canal,126.6,19.7,80,No,None,Neem Oil,73.9,70.66,1500819.1,555917.69,145744.8,-410172.89,74,85
FARM00546,Uttar Pradesh,Meerut,Village_130,Sugarcane,Co0238,2022-09-06,2023-01-04,Rabi,24.94,Red,6.5,70,50,99,Organic Compost,Sprinkler,68.1,31.8,66,No,None,Neem Oil,101.28,99.01,722368.2,843718.86,370492.28,-473226.58,83,58
FARM00547,Karnataka,Mysuru,Village_63,Sugarcane,Co0238,2022-05-11,2022-09-11,Kharif,18.39,Alluvial,7.1,90,120,42,DAP,Drip,51.0,23.1,69,No,None,Neem Oil,71.15,73.97,364024.0,472904.3,158047.16,-314857.14,77,57
FARM00548,Karnataka,Belagavi,Village_51,Wheat,PBW725,2020-02-10,2020-08-07,Kharif,6.15,Loamy,6.1,80,131,47,Urea,Canal,165.0,31.3,97,No,None,Neem Oil,28.88,30.42,108087.2,95748.6,116697.46,20948.86,62,84
FARM00549,Maharashtra,Pune,Village_221,Cotton,Bt,2023-02-11,2023-05-29,Rabi,12.73,Loamy,7.2,157,128,61,Urea,Sprinkler,62.7,24.4,73,No,None,Neem Oil,39.66,38.16,423155.2,210808.05,131727.23,-79080.82,80,58
FARM00550,Assam,Guwahati,Village_341,Soybean,NRC37,2020-01-20,2020-05-27,Zaid,16.45,Red,7.8,129,55,169,Organic Compost,Sprinkler,73.2,27.5,65,No,None,Neem Oil,63.84,65.4,818884.8,474579.6,135814.92,-338764.68,57,87
FARM00551,West Bengal,Siliguri,Village_328,Potato,Kufri Jyoti,2020-08-28,2020-12-22,Kharif,2.09,Loamy,5.6,67,57,147,Organic Compost,Sprinkler,81.2,24.5,62,Yes,Leaf Blight,Chlorpyrifos,9.25,7.4,105545.9,36671.0,23950.52,-12720.48,44,93
FARM00552,Tamil Nadu,Madurai,Village_100,Rice,Basmati,2021-11-11,2022-04-19,Zaid,16.63,Black,7.4,119,48,161,Urea,Sprinkler,118.9,28.6,75,Yes,Leaf Blight,Imidacloprid,62.33,49.86,934822.5,341780.53,162728.74,-179051.79,36,55
FARM00553,Assam,Guwahati,Village_448,Maize,HQPM1,2020-12-19,2021-06-05,Zaid,20.54,Laterite,7.9,91,107,101,Organic Compost,Flood,55.4,29.8,57,No,None,Neem Oil,78.46,82.54,729768.4,533304.34,215681.57,-317622.77,56,55
FARM00554,Maharashtra,Nashik,Village_187,Sugarcane,Co0238,2022-01-14,2022-06-18,Kharif,2.78,Alluvial,6.4,67,86,147,NPK,Flood,87.5,29.2,71,No,None,Neem Oil,9.25,8.79,173165.5,49773.53,35648.21,-14125.32,70,75
FARM00555,Maharashtra,Nashik,Village_140,Cotton,Suraj,2023-01-13,2023-05-25,Zaid,6.02,Clay,6.2,144,157,79,Organic Compost,Drip,74.1,23.6,67,No,None,Neem Oil,20.53,21.39,105084.3,139544.39,63494.17,-76050.22,90,51
FARM00556,Tamil Nadu,Coimbatore,Village_248,Maize,DHM117,2021-07-21,2021-11-30,Kharif,24.01,Clay,5.8,168,73,139,DAP,Drip,77.9,29.7,69,Yes,Leaf Blight,Imidacloprid,77.42,61.94,1849656.9,614585.5,210671.89,-403913.61,64,71
FARM00557,Assam,Guwahati,Village_129,Wheat,HD2967,2022-01-19,2022-07-12,Zaid,18.42,Red,6.8,165,135,139,NPK,Rain-fed,84.7,23.8,77,No,None,Neem Oil,69.04,68.81,1396901.6,422358.04,223040.09,-199317.95,74,56
FARM00558,West Bengal,Siliguri,Village_470,Wheat,PBW725,2020-10-23,2021-02-11,Rabi,22.38,Black,5.9,165,77,147,Urea,Sprinkler,45.7,25.0,67,No,None,Neem Oil,74.62,75.99,782083.7,770073.9,279977.39,-490096.51,79,58
FARM00559,Assam,Jorhat,Village_104,Soybean,NRC37,2024-02-14,2024-06-16,Zaid,21.79,Loamy,8.1,178,144,158,NPK,Sprinkler,40.3,29.5,63,Yes,Leaf Blight,Imidacloprid,62.04,49.63,360762.1,312710.31,137785.21,-174925.1,45,51
FARM00560,Karnataka,Mysuru,Village_194,Soybean,JS335,2021-02-01,2021-06-02,Rabi,5.58,Laterite,6.2,176,146,64,NPK,Drip,64.8,24.4,73,No,None,Neem Oil,17.05,17.9,431861.5,78770.15,70348.48,-8421.67,93,52
FARM00561,Karnataka,Belagavi,Village_246,Millet,Ragi,2021-12-02,2022-05-11,Rabi,13.17,Alluvial,5.5,151,155,77,Urea,Drip,48.3,25.1,55,Yes,Leaf Blight,Chlorpyrifos,50.0,40.0,685503.0,305128.77,125366.17,-179762.6,47,67
FARM00562,West Bengal,Siliguri,Village_295,Cotton,Suraj,2023-08-03,2023-12-09,Kharif,18.28,Clay,6.9,76,131,149,Urea,Flood,51.1,20.5,58,Yes,Leaf Blight,Imidacloprid,66.84,53.47,1213224.1,584020.95,179385.09,-404635.86,20,47
FARM00563,Rajasthan,Kota,Village_179,Wheat,PBW725,2021-10-29,2022-03-16,Rabi,13.35,Red,7.8,166,41,49,Organic Compost,Drip,14.3,23.7,47,No,None,Neem Oil,43.74,47.42,746319.2,264152.74,173135.82,-91016.92,72,76
FARM00564,Karnataka,Mysuru,Village_230,Sugarcane,Co0238,2023-09-24,2024-01-23,Kharif,16.26,Loamy,5.5,133,168,117,DAP,Rain-fed,51.6,33.6,56,Yes,Leaf Blight,Chlorpyrifos,51.51,41.21,914411.7,515023.87,172249.22,-342774.65,34,81
FARM00565,Karnataka,Mysuru,Village_145,Potato,Kufri Jyoti,2021-08-30,2022-02-06,Rabi,22.47,Clay,7.9,81,164,75,DAP,Drip,33.7,28.9,50,No,None,Neem Oil,81.08,88.97,765128.1,419102.26,367398.57,-51703.69,56,67
FARM00566,Punjab,Amritsar,Village_383,Cotton,Bt,2021-08-22,2022-01-23,Zaid,23.17,Laterite,5.9,141,145,148,Organic Compost,Sprinkler,109.5,32.6,70,Yes,Leaf Blight,Imidacloprid,98.3,78.64,1311026.5,355423.45,172615.19,-182808.26,67,86
FARM00567,Tamil Nadu,Madurai,Village_443,Potato,Kufri Jyoti,2021-07-28,2021-12-05,Rabi,11.52,Red,5.8,171,153,136,DAP,Sprinkler,52.3,25.4,57,No,None,Neem Oil,40.76,40.92,751378.0,244636.09,114014.97,-130621.12,59,84
FARM00568,Maharashtra,Pune,Village_75,Rice,Basmati,2022-05-21,2022-08-19,Zaid,16.52,Red,5.7,89,152,106,NPK,Sprinkler,35.9,28.8,56,Yes,Leaf Blight,Imidacloprid,44.55,35.64,762819.9,429267.45,104179.58,-325087.87,34,64
FARM00569,Rajasthan,Jaipur,Village_101,Millet,Ragi,2023-03-28,2023-08-14,Kharif,6.55,Clay,7.3,128,74,100,NPK,Sprinkler,102.0,36.4,77,No,None,Neem Oil,24.97,25.92,194674.8,186502.19,70660.32,-115841.87,72,95
FARM00570,Maharashtra,Nashik,Village_453,Sugarcane,Co0238,2023-08-13,2024-01-11,Rabi,17.7,Loamy,5.5,83,44,83,Organic Compost,Flood,134.9,31.9,80,Yes,Leaf Blight,Chlorpyrifos,73.52,58.82,1266535.9,526798.56,163132.29,-363666.27,64,46
FARM00571,Uttar Pradesh,Lucknow,Village_356,Rice,Basmati,2022-03-10,2022-07-18,Zaid,5.66,Clay,7.3,110,120,90,NPK,Flood,60.8,29.8,71,No,None,Neem Oil,17.37,18.82,117326.1,175864.06,44055.36,-131808.7,79,63
FARM00572,Punjab,Amritsar,Village_341,Sugarcane,Co86032,2022-06-21,2022-11-06,Kharif,2.06,Black,8.2,171,62,136,Urea,Flood,83.6,38.7,71,No,None,Neem Oil,9.44,9.87,160400.5,66512.98,40925.77,-25587.21,59,69
FARM00573,Tamil Nadu,Coimbatore,Village_497,Wheat,HD2967,2023-06-23,2023-11-10,Rabi,11.55,Laterite,7.4,135,110,123,DAP,Drip,36.4,26.0,52,No,None,Neem Oil,40.12,39.22,398201.8,271371.46,146584.02,-124787.44,66,76
FARM00574,Karnataka,Belagavi,Village_162,Wheat,PBW725,2020-03-14,2020-08-03,Rabi,12.45,Clay,5.9,120,149,84,Vermicompost,Flood,36.4,28.8,63,No,None,Neem Oil,34.74,33.3,523456.0,182163.32,130526.92,-51636.4,57,48
FARM00575,Rajasthan,Jaipur,Village_128,Rice,Basmati,2020-12-29,2021-04-26,Zaid,10.97,Loamy,7.3,52,106,146,Urea,Drip,44.1,20.6,59,No,None,Neem Oil,38.64,41.88,387620.8,375641.3,106631.35,-269009.95,88,71
FARM00576,Uttar Pradesh,Meerut,Village_175,Sugarcane,Co86032,2022-02-25,2022-08-01,Kharif,22.52,Clay,5.6,46,90,45,DAP,Canal,87.9,31.8,77,No,None,Neem Oil,89.96,90.12,661219.8,318885.76,319025.39,139.63,83,45
FARM00577,Rajasthan,Kota,Village_15,Potato,Kufri Pukhraj,2022-12-11,2023-05-16,Kharif,4.53,Loamy,6.4,164,168,84,Urea,Canal,62.3,32.1,66,No,None,Neem Oil,19.03,19.6,130266.7,124269.51,49800.32,-74469.19,88,52
FARM00578,Tamil Nadu,Madurai,Village_449,Maize,HQPM1,2022-03-21,2022-09-10,Kharif,9.91,Alluvial,8.0,135,131,102,Urea,Drip,77.4,22.5,64,Yes,Leaf Blight,Chlorpyrifos,32.43,25.94,580909.1,311916.05,85970.32,-225945.73,39,74
FARM00579,West Bengal,Kolkata,Village_97,Sugarcane,Co0238,2022-01-12,2022-07-09,Kharif,12.66,Red,6.4,150,59,119,DAP,Canal,63.0,28.2,58,No,None,Neem Oil,53.35,53.6,840847.4,257108.62,99617.43,-157491.19,58,88
FARM00580,Uttar Pradesh,Lucknow,Village_374,Cotton,Suraj,2021-10-20,2022-03-13,Rabi,21.91,Clay,6.4,62,149,145,Urea,Canal,29.2,29.4,50,No,None,Neem Oil,62.73,67.7,1066930.9,532140.25,258757.94,-273382.31,92,59
FARM00581,Assam,Jorhat,Village_235,Cotton,Bt,2023-08-13,2023-12-25,Kharif,20.62,Laterite,5.7,51,129,91,Urea,Canal,54.1,23.4,65,No,None,Neem Oil,65.41,63.2,1556975.7,274747.41,258644.4,-16103.01,65,65
FARM00582,Karnataka,Mysuru,Village_42,Soybean,JS335,2021-05-10,2021-11-04,Rabi,21.03,Red,5.8,87,116,133,Organic Compost,Sprinkler,86.8,27.8,73,No,None,Neem Oil,100.63,107.2,343472.5,297431.96,370186.34,72754.38,83,57
FARM00583,Tamil Nadu,Coimbatore,Village_306,Wheat,PBW725,2021-05-17,2021-10-21,Zaid,3.95,Laterite,6.8,68,139,115,Vermicompost,Drip,103.5,24.6,82,Yes,Leaf Blight,Chlorpyrifos,19.18,15.34,260260.3,84488.85,30629.59,-53859.26,59,78
FARM00584,West Bengal,Kolkata,Village_122,Sugarcane,Co86032,2020-11-30,2021-03-09,Zaid,2.71,Alluvial,5.5,168,56,57,Organic Compost,Sprinkler,161.7,33.8,82,No,None,Neem Oil,12.48,12.31,113071.5,73416.05,25303.78,-48112.27,91,46
FARM00585,Maharashtra,Nashik,Village_421,Rice,Basmati,2022-01-20,2022-05-17,Zaid,4.97,Laterite,6.7,53,80,103,NPK,Flood,41.3,28.6,59,No,None,Neem Oil,17.52,17.28,330572.6,62683.25,62120.0,-563.25,66,66
FARM00586,Maharashtra,Pune,Village_210,Millet,Bajra,2020-08-20,2020-12-25,Kharif,15.43,Black,8.1,48,169,131,DAP,Drip,94.7,22.6,80,No,None,Neem Oil,67.54,70.09,1087482.7,478729.23,126912.61,-351816.62,75,72
FARM00587,Assam,Guwahati,Village_152,Rice,Basmati,2022-09-07,2023-02-25,Kharif,1.54,Red,7.2,58,115,52,DAP,Rain-fed,31.6,22.5,53,No,None,Neem Oil,5.41,5.81,86167.1,48977.61,14395.04,-34582.57,74,74
